can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
True,True,100.0,100.0,198869,0,0,-1,1,0,2,0.5,0.0,0,Benjamin,0.0,11,False,,2025-09-18T04:00:07.778280Z,54,198869.jpg,6.0,False,White,0.5,False,,a,1,3,6,25111,157,76696,144,0.0,1.1,White,241.0,2021-07-30,1997-10-08,False,p198869,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,303,119,272,92,340,118,347,124,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,178,21,702,240,19,8,252,95,1.29,1.29,10.29
True,True,,,563324,0,0,0,0,0,2,0.5,0.0,0,Brayden,0.0,13,False,,,40,563324.jpg,0.0,False,Clarke,0.5,False,,a,1,3,0,19654,182,33718,245,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,502,199,485,197,449,182,504,199,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,695,205,484,190,512,197,243,89,0.0,0.0,0.0
True,False,0.0,0.0,588793,0,0,-1,1,0,2,0.0,0.0,0,Maldini,0.0,14,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,False,Kacurri,0.2,False,,u,1,3,0,10218,0,12937,263,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,428,165,406,160,366,141,430,165,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,736,240,407,153,438,163,379,139,0.0,0.0,0.0
True,True,,,499167,0,0,-1,1,0,2,0.5,0.0,0,Josh,0.0,15,False,,,39,499167.jpg,0.0,False,Nichols,0.2,False,,a,1,3,0,9466,366,10312,107,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,418,156,396,151,356,132,420,156,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,726,231,397,144,428,154,358,129,0.0,0.0,0.0
True,True,100.0,100.0,223340,0,0,-2,2,0,3,0.7,0.2,0,Bukayo,0.2,16,False,,2025-08-23T22:30:05.759392Z,98,223340.jpg,3.3,False,Saka,5.2,False,,a,1,3,10,458580,21351,1674920,1124,0.0,1.0,Saka,241.0,2018-11-28,2001-09-05,False,p223340,187,1,0,1,0,0,0,0,0,0,0,0,41,58.0,79.1,35.0,17.2,0,9,3,12,2,0.30,0.33,0.63,2.03,143,53,50,38,127,79,90,50,1.0,,4.0,,1.0,,0.14,0.0,0.16,0.3,0.98,0.0,5,3,381,184,131,55,69,20,0.96,0.48,5.78
True,True,75.0,75.0,184029,0,0,-1,1,0,3,0.8,0.4,0,Martin,0.5,17,False,Shoulder injury - 75% chance of playing,2025-09-13T21:30:07.910212Z,79,184029.jpg,2.0,False,Ødegaard,1.8,False,,d,1,3,8,102879,93,330065,1184,0.1,1.0,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,164,0,0,1,1,0,0,0,0,0,0,0,27,20.8,32.1,22.0,7.5,6,9,2,17,3,0.14,0.35,0.49,1.94,286,131,149,100,181,106,241,118,3.0,,2.0,,3.0,,0.08,0.0,0.19,0.27,1.06,0.55,17,12,336,165,256,121,139,48,1.65,0.55,9.33
True,True,0.0,0.0,248857,0,0,0,0,0,3,0.0,0.0,0,Noni,1.5,18,False,Knee injury - Unknown return date,2025-09-21T22:30:05.839272Z,70,248857.jpg,2.0,False,Madueke,1.1,False,,i,1,3,10,148492,27,168546,4353,0.2,1.4,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,1,10,3,14,4,0.29,0.86,1.15,2.04,246,113,21,18,18,8,41,26,,,,,,,0.09,0.0,0.25,0.34,0.6,0.59,38,23,222,102,254,120,178,59,1.18,0.59,4.14
True,True,,,444145,0,0,-1,1,0,3,3.3,2.8,0,Gabriel,2.8,19,False,,,69,444145.jpg,3.0,False,Martinelli Silva,1.1,False,,a,1,3,12,45385,1537,89742,423,0.4,1.7,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,150,1,0,1,0,0,0,0,0,0,0,1,43,42.6,15.3,44.0,10.2,0,6,2,8,2,0.18,0.01,0.19,1.33,193,80,242,144,93,58,186,97,,,,,,,0.11,0.0,0.01,0.12,0.8,0.0,45,29,114,47,161,67,174,58,1.2,0.6,4.8
True,True,100.0,100.0,116216,0,0,-1,1,0,3,2.0,1.5,0,Leandro,1.5,20,False,,2025-08-29T18:30:07.885490Z,69,116216.jpg,2.3,False,Trossard,0.3,False,,a,1,3,7,7291,215,21754,123,0.2,1.0,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,131,0,1,0,1,0,0,0,0,0,0,0,29,30.2,36.3,25.0,9.2,2,1,1,4,1,0.21,0.36,0.57,0.99,245,112,133,89,170,98,201,102,,,,,4.0,,0.14,0.0,0.25,0.39,0.68,0.69,42,26,221,101,218,100,321,108,0.69,0.0,2.75
True,True,,,204480,0,0,0,0,0,3,2.5,2.0,0,Declan,2.0,21,False,,,65,204480.jpg,4.0,False,Rice,8.0,False,,a,1,3,20,385760,2255,454717,3824,0.3,3.1,Rice,241.0,2023-07-15,1999-01-14,False,p204480,374,0,2,2,2,0,0,0,0,0,0,1,76,63.2,112.3,15.0,19.1,8,21,3,32,4,0.15,0.84,0.99,2.72,130,44,20,17,222,126,73,43,2.0,,1.0,,,,0.04,0.0,0.2,0.24,0.65,0.48,53,36,177,77,92,35,51,15,0.96,0.48,7.7
True,True,,,195384,0,0,-1,1,0,3,2.3,1.8,0,Mikel,1.8,22,False,,,59,195384.jpg,2.0,False,Merino Zazón,0.5,False,,a,1,3,8,42888,577,62390,471,0.3,1.4,Merino,200.0,2024-08-27,1996-06-22,False,p195384,211,0,0,2,1,0,0,0,0,0,0,0,29,28.4,39.9,33.0,10.2,5,14,4,23,3,0.13,0.12,0.25,1.52,255,115,122,82,134,83,185,96,,,,,,,0.06,0.0,0.05,0.11,0.65,0.43,100,68,199,87,249,117,238,82,1.28,0.85,9.81
True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,933,0,3866,18,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,710,308,711,310,703,309,711,309,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,190,118,705,306,713,311,639,266,0.0,0.0,0.0
True,True,100.0,100.0,128295,0,0,-2,2,0,3,0.5,0.0,0,Christian,0.0,24,False,,2025-08-18T08:00:05.297235Z,53,128295.jpg,0.0,False,Nørgaard,0.2,False,,a,1,3,0,2425,55,49803,86,0.0,0.0,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,703,304,704,306,691,303,704,305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,209,129,695,300,706,307,387,129,0.0,0.0,0.0
True,True,,,499175,0,0,-2,2,0,3,1.5,1.0,0,Ethan,1.0,25,False,,,53,499175.jpg,1.7,False,Nwaneri,0.2,False,,a,1,3,5,7816,132,22282,144,0.2,0.9,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,130,0,0,1,0,0,0,0,0,0,0,0,14,8.2,20.9,20.0,4.9,1,7,1,9,0,0.17,0.04,0.21,0.20,341,163,205,129,196,115,298,151,4.0,,3.0,,,,0.12,0.0,0.03,0.15,0.14,0.0,224,139,263,126,279,132,380,126,0.0,0.69,6.23
True,True,,,481655,0,0,0,0,1,3,5.3,4.8,0,Martín,4.8,26,False,,,55,481655.jpg,5.4,False,Zubimendi Ibáñez,4.3,False,,a,1,3,27,428861,6087,207970,2561,0.9,4.9,Zubimendi,200.0,2025-07-06,1999-02-02,False,p481655,450,2,0,3,2,0,0,0,1,0,0,3,96,101.0,44.9,45.0,19.1,9,19,6,34,5,0.26,0.12,0.38,3.30,60,20,106,74,88,55,72,42,,,,,,,0.05,0.0,0.02,0.07,0.66,0.4,159,99,32,13,33,9,86,27,1.0,0.6,6.8
True,False,0.0,0.0,588796,0,0,0,0,0,3,0.0,0.0,0,Ismeal,0.0,28,False,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,False,Kabia,0.2,False,,u,1,3,0,6731,0,23185,134,0.0,0.0,Kabia,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,635,258,629,260,603,250,636,259,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,485,286,625,254,645,268,390,130,0.0,0.0,0.0
True,False,0.0,0.0,437742,0,0,0,0,0,3,0.0,0.0,0,Albert,0.0,29,False,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,False,Sambi Lokonga,0.1,False,,u,1,3,0,2952,0,11059,63,0.0,0.0,Sambi,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,591,223,582,225,556,215,593,224,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,424,248,580,219,600,233,507,175,0.0,0.0,0.0
True,True,0.0,0.0,219847,0,0,-2,2,0,4,0.0,0.0,0,Kai,0.0,30,False,Knee injury - Unknown return date,2025-08-20T13:00:06.498911Z,73,219847.jpg,1.0,False,Havertz,0.4,False,,i,1,3,1,8479,8,104151,160,0.0,0.1,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.82,378,35,359,39,338,42,389,41,,,,,,,0.0,0.0,0.03,0.03,2.46,0.0,28,11,736,81,400,46,279,46,0.0,0.0,9.0
True,True,0.0,0.0,205651,0,0,-1,1,0,4,0.0,0.0,0,Gabriel,0.0,31,False,Knee injury - Expected back 30 Dec,2025-07-21T10:00:04.697564Z,64,205651.jpg,0.0,False,Fernando de Jesus,0.0,False,,i,1,3,0,779,5,2971,23,0.0,0.0,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,732,78,732,78,732,78,732,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62,20,728,76,731,78,602,75,0.0,0.0,0.0
True,True,,,232413,0,0,0,0,0,3,3.3,2.8,0,Eberechi,2.8,266,False,,,75,232413.jpg,3.5,False,Eze,12.4,False,,a,1,3,14,952732,14678,775102,4813,0.4,1.9,Eze,241.0,2025-08-23,1998-06-29,False,p232413,226,0,2,2,1,0,0,0,0,0,0,0,49,54.0,38.3,60.0,15.3,2,10,2,14,2,0.44,0.70,1.14,1.91,154,58,126,84,61,36,109,60,1.0,,1.0,,1.0,,0.18,0.0,0.28,0.46,0.76,0.4,25,16,115,48,117,49,34,11,0.8,0.8,5.58
True,True,,,500040,0,0,-1,1,0,2,3.0,2.5,0,Cristhian,2.5,662,False,,,54,500040.jpg,2.8,False,Mosquera,0.2,False,,a,1,3,11,18493,122,14192,200,0.5,2.0,Mosquera,200.0,2025-07-24,2004-06-27,False,p500040,202,0,0,1,1,0,0,0,0,0,0,1,56,51.4,2.4,4.0,5.8,11,10,8,19,1,0.00,0.04,0.04,0.72,165,71,334,119,313,110,275,91,,,,,,,0.0,0.0,0.02,0.02,0.32,0.45,197,27,126,49,176,68,355,127,0.45,0.45,8.47
True,True,,,224117,0,0,0,0,1,4,2.7,2.2,0,Viktor,2.2,666,False,,,90,224117.jpg,4.4,False,Gyökeres,25.7,False,,a,1,3,22,1566576,26687,1489134,17630,0.2,2.4,Gyökeres,206.0,2025-07-26,1998-06-04,False,p224117,396,3,0,2,2,0,0,0,1,0,0,2,85,109.2,46.2,110.0,26.6,5,9,1,15,5,2.12,0.28,2.40,2.38,47,6,100,10,17,9,27,7,,,,,2.0,,0.48,0.0,0.06,0.54,0.54,0.45,7,3,155,17,67,9,11,3,1.14,0.45,3.41
True,True,,,616077,0,0,0,0,0,3,0.7,0.2,0,Max,0.2,700,False,,,45,616077.jpg,2.5,False,Dowman,0.4,False,,a,1,3,5,66955,256,29995,504,0.0,1.1,Dowman,241.0,2025-07-22,2009-12-31,False,p616077,27,0,1,0,0,0,0,0,0,0,0,0,13,1.0,0.8,26.0,2.8,0,1,2,3,0,0.14,0.02,0.16,0.12,395,186,357,186,162,94,345,167,,,,,,,0.47,0.0,0.07,0.54,0.4,0.0,498,295,357,169,194,86,268,93,0.0,0.0,10.0
True,True,,,646243,0,0,0,0,0,3,0.5,0.0,0,Andre,0.0,711,False,,,45,646243.jpg,0.0,False,Harriman-Annous,0.0,False,,a,1,3,0,779,13,379,13,0.0,0.0,Harriman-Annous,241.0,2025-07-22,2007-12-28,False,p646243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,648,268,641,269,616,260,649,269,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,503,298,637,263,655,275,694,299,0.0,0.0,0.0
True,True,25.0,25.0,448104,0,0,0,0,0,2,0.1,0.0,0,Piero,0.0,725,False,Groin Injury - 25% chance of playing,2025-09-24T06:00:06.296709Z,55,448104.jpg,0.0,False,Hincapié,0.0,False,,d,1,3,0,3477,6,2312,117,0.0,0.0,Hincapie,62.0,2025-09-01,2002-01-09,False,p448104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,721,245,722,245,719,244,722,245,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,155,19,716,243,722,244,626,214,0.0,0.0,0.0
True,True,75.0,75.0,98980,0,0,0,0,0,1,2.0,1.7,0,Emiliano,2.2,32,False,Knock - 75% chance of playing,2025-09-26T15:00:08.043050Z,50,98980.jpg,3.7,False,Martínez Romero,2.1,False,,d,2,7,11,146948,131,94799,3035,0.4,2.2,Martinez,10.0,2020-09-16,1992-09-02,False,p98980,270,0,0,1,2,0,0,0,0,0,6,0,54,51.8,0.0,0.0,5.2,3,20,0,0,3,0.00,0.01,0.01,4.34,164,19,683,82,663,77,289,20,,,,,,,0.0,2.0,0.0,0.0,1.45,0.67,247,10,140,12,103,10,129,17,1.0,0.33,0.0
True,True,,,72147,0,0,0,0,0,1,0.5,0.0,0,Marco,0.0,33,False,,,45,72147.jpg,3.5,False,Bizot,0.6,False,,a,2,7,7,72955,118,75754,402,0.0,1.6,M.Bizot,152.0,2025-07-15,1991-03-10,False,p72147,180,0,0,1,3,0,0,0,1,0,4,0,22,25.4,0.0,0.0,2.6,4,19,0,0,2,0.00,0.00,0.00,4.10,267,24,568,67,539,60,348,24,,,,,,,0.0,2.0,0.0,0.0,2.05,1.5,391,21,569,81,111,11,223,30,1.0,0.5,0.0
True,False,0.0,0.0,462492,0,0,0,0,0,1,0.0,0.0,0,Joe,0.0,34,False,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,0.0,False,Gauci,0.2,False,,u,2,7,0,0,0,10948,57,0.0,0.0,Gauci,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,471,55,454,38,416,31,473,55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,656,66,452,54,481,55,398,60,0.0,0.0,0.0
True,False,0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,35,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,0.0,False,Marschall,0.0,False,,u,2,7,0,0,0,826,7,0.0,0.0,Marschall,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,470,54,453,37,415,30,472,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,655,65,451,53,480,54,681,81,0.0,0.0,0.0
True,True,,,199796,0,0,1,-1,1,2,4.3,3.8,0,Matty,3.8,36,False,,,46,199796.jpg,5.0,False,Cash,5.3,False,,a,2,7,25,543443,2543,252720,1122,0.8,5.4,Cash,172.0,2020-09-03,1997-08-07,False,p199796,433,1,0,2,4,0,0,0,2,0,0,2,84,121.8,72.6,20.0,21.6,19,11,10,29,5,0.06,0.53,0.59,7.54,35,13,62,12,193,47,56,11,,,,,,,0.01,0.0,0.11,0.12,1.57,0.83,386,68,61,23,43,21,68,26,1.04,0.42,6.03
True,True,,,101188,0,0,0,0,0,2,2.3,1.8,0,Lucas,1.8,37,False,,,45,101188.jpg,3.0,False,Digne,1.9,False,,a,2,7,15,97386,245,96506,704,0.4,3.3,Digne,73.0,2022-01-13,1993-07-20,False,p101188,307,0,0,2,1,0,0,0,1,0,0,0,57,27.0,25.5,17.0,6.9,9,13,4,13,4,0.08,0.22,0.30,5.37,260,101,178,47,208,54,250,83,7.0,,2.0,,,,0.02,0.0,0.06,0.08,1.57,0.29,393,72,184,70,141,54,135,52,1.17,0.59,3.81
True,True,100.0,100.0,199798,0,0,0,0,0,2,2.7,2.2,0,Ezri,2.2,38,False,,2025-08-16T19:30:05.327199Z,45,199798.jpg,3.0,False,Konsa Ngoyo,11.5,False,,a,2,7,12,176426,1215,1096058,4249,0.5,2.7,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,335,0,0,2,4,0,0,0,0,1,0,0,56,61.8,19.4,4.0,8.5,16,12,2,18,4,0.00,0.07,0.07,6.91,132,60,212,64,302,104,216,74,,,,,,,0.0,0.0,0.02,0.02,1.86,1.07,406,80,135,54,144,56,37,13,1.07,0.54,4.84
True,True,,,441302,0,0,-1,1,0,2,0.7,0.2,0,Ian,0.2,39,False,,,44,441302.jpg,0.7,False,Maatsen,0.5,False,,a,2,7,2,14703,145,51775,254,0.0,0.5,Maatsen,152.0,2024-06-28,2002-03-10,False,p441302,141,0,0,0,4,0,0,0,1,0,0,0,14,34.6,57.0,13.0,10.5,11,10,1,12,1,0.11,0.20,0.31,3.08,225,86,79,17,230,67,177,60,,,,,,,0.07,0.0,0.13,0.2,1.97,2.55,544,140,355,125,404,135,236,86,0.64,0.0,7.66
